Timestamp,Are you a user of the Touch ‘n Go e-wallet?,Gender,Age,Employment Status,Education Level,1. Frequency of Using Touch ’n Go eWallet Services,"2. For what purpose do you primarily use Touch ’n Go eWallet? 
(Select all that apply)",3. How much do you spend on average per month with Touch ‘n Go e-wallet?,4. How long have you been using Touch ’n Go eWallet?,5. How satisfied are you with the rewards and cashback programs provided by Touch ’n Go eWallet?,6. How often do you encounter technical issues when making payment via Touch ’n Go QR code?,7. Do you feel that Touch ’n Go eWallet has improved your overall shopping or payment experience?,8. How important is the availability of Touch ’n Go eWallet at merchants and service providers to your decision to use it?,9. How likely are you to explore and use new features or services introduced in the Touch ’n Go eWallet app?,10. Which alternative payment methods do you often use besides Touch ’n Go eWallet? (Select all that apply),Perceived Usefulness [1. Using Touch ’n Go eWallet helps me make faster payments.],Perceived Usefulness [2. The features offered by Touch ’n Go eWallet are useful for my daily transactions.],Perceived Usefulness [3. Touch ’n Go eWallet enhances my overall shopping convenience.],Perceived Usefulness [4. Touch ’n Go eWallet helps me reduce the time spent on payment processes.],Perceived Usefulness [5. Using Touch ’n Go eWallet increases my productivity in managing payments.],Perceived Usefulness [6. Touch ’n Go eWallet provides valuable services that meet my payment needs.],Perceived Usefulness [7. The convenience of Touch ’n Go eWallet motivates me to use it frequently.],Perceived Ease of Use [1. I find the Touch ’n Go eWallet application easy to navigate.],Perceived Ease of Use [2. Making payments with Touch ’n Go eWallet is simple and straightforward.],Perceived Ease of Use [3. The process of reloading or top-up on Touch ’n Go eWallet is convenient.],Perceived Ease of Use [4. It is easy for me to find merchants that accept Touch ’n Go QR code payments.],Perceived Ease of Use [5. Learning to use Touch ’n Go eWallet was easy for me.],Perceived Ease of Use [6. The interface of Touch ’n Go eWallet is user-friendly.],Perceived Compatibility [1. Using Touch ’n Go QR payments fits well with my lifestyle.],Perceived Compatibility [2. Touch ’n Go QR payments are compatible with the way I usually make payments.],Perceived Compatibility [3. Using Touch ’n Go QR payments suits my daily routines.],Perceived Compatibility [4. Touch ’n Go QR payments align with my preference for cashless transactions.],"Perceived Compatibility [5. Touch ’n Go QR payments fit well with the technologies I already use (e.g., smartphone apps).]",Perceived Compatibility [6. Using QR payments through Touch ’n Go matches the way I prefer to manage my finances.],Perceived Security and Trust [1. I feel that my personal information is safe when I use Touch ’n Go QR payments.],Perceived Security and Trust [2. Touch ’n Go provides secure protection against unauthorized access.],Perceived Security and Trust [3. I believe that QR transactions made through Touch ’n Go are safe from fraud.],Perceived Security and Trust [4. Touch ’n Go has strong security features that protect my financial information.],Perceived Security and Trust [5. I trust Touch ’n Go to handle my transactions reliably.],Perceived Security and Trust [6. I believe Touch ’n Go is a trustworthy eWallet provider.],Perceived Security and Trust [7. I trust Touch ’n Go to complete my QR payment transactions accurately and on time.],Perceived Security and Trust [8. Touch ’n Go’s positive reputation increases my confidence in using QR payments.],Perceived Security and Trust [9. I trust that the company maintains transparency in its services.],Perceived Convenience [1. Ordering and paying through Touch ’n Go eWallet saves me time.],Perceived Convenience [2. Using Touch ’n Go eWallet is more convenient compared to cash or card payments.],Perceived Convenience [3. It is easy to pay multiple merchants using Touch ’n Go QR code in one go.],Perceived Convenience [4. Touch ’n Go eWallet makes my daily transactions more efficient.],Perceived Convenience [5. I can use Touch ’n Go eWallet anytime and anywhere without hassle.],Perceived Convenience [6. Touch ’n Go eWallet reduces the physical need to carry cash or cards.],Consumer Intention [1. I am satisfied with my experience using Touch ’n Go eWallet.],Consumer Intention [2. I will likely continue to use Touch ’n Go eWallet in the future.],Consumer Intention [3. I would recommend Touch ’n Go eWallet to friends and family.],Consumer Intention [4. I frequently use Touch ’n Go eWallet for my transactions.],Consumer Intention [5. I prefer Touch ’n Go eWallet over other payment methods.],Consumer Intention [6. I feel that Touch ’n Go eWallet has improved my lifestyle convenience.]
11/12/2025 1:43:05,Yes,Female,21 - 25 years old,Student,Diploma,Daily,"Grocery shopping, Dining out, Mobile top-up","RM500 to RM1,000",More than 2 years,4 - Satisfied,Rarely,5 - Strongly Agree,1- Not Important,4 - Likely,"Cash, Credit Card/Debit Card",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
11/12/2025 3:21:20,Yes,Male,21 - 25 years old,Student,Master,Weekly,"Dining out, Bill payments","RM1,000 to RM2,000",6 months to 1 year,5 - Very Satisfied,Always,5 - Strongly Agree,5 - Extremely Important,5 - Very Likely,"Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",4,4,3,4,4,3,4,3,4,4,4,4,3,3,4,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
11/12/2025 10:53:41,Yes,Male,21 - 25 years old,Private Sector,Secondary School,Daily,Dining out,"RM500 to RM1,000",1 to 2 years,3 - Neutral,Often,4 - Agree,5 - Extremely Important,4 - Likely,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",3,4,5,4,5,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,3,4,4
11/12/2025 10:57:09,Yes,Male,31 – 35 years old,Student,Diploma,Weekly,"Dining out, Bill payments","RM1,000 to RM2,000",More than 2 years,5 - Very Satisfied,Always,5 - Strongly Agree,5 - Extremely Important,5 - Very Likely,"Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,4,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4
11/12/2025 12:25:28,Yes,Female,26 - 30 years old,Private Sector,Diploma,Daily,Dining out,Less than RM500,6 months to 1 year,4 - Satisfied,Sometimes,4 - Agree,4 - Very Important,3 - Neutral,"Credit Card/Debit Card, Online Banking",4,4,3,4,4,5,5,5,3,4,5,3,3,4,4,3,4,4,4,4,3,5,5,4,3,4,3,5,4,4,4,4,4,4,4,5,5,4,5,5
11/12/2025 12:29:00,Yes,Male,18 – 20 years old,Student,Secondary School,Weekly,Dining out,Less than RM500,1 to 2 years,1 - Very Dissatisfied,Rarely,1 - Strongly Disagree,3 - Moderately Important,3 - Neutral,Cash,4,4,4,4,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,4,4,5,4,5,3,3,3,3,4,4,3,5,4,4,4,4,4,3,4,5
11/12/2025 13:07:29,Yes,Male,46 – 50 years old,Self-employed,Secondary School,Rarely,"Dining out, Bill payments",Less than RM500,More than 2 years,2 - Dissatisfied,Rarely,2 - Disagree,1- Not Important,3 - Neutral,Cash,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
11/12/2025 13:08:37,Yes,Female,46 – 50 years old,Self-employed,Diploma,Monthly,"Dining out, Bill payments",Less than RM500,More than 2 years,3 - Neutral,Sometimes,3 - Neutral,3 - Moderately Important,3 - Neutral,"Cash, Credit Card/Debit Card",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/12/2025 13:09:36,Yes,Male,31 – 35 years old,Government Sector,Master,Weekly,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up","Over RM2,000",More than 2 years,4 - Satisfied,Often,4 - Agree,4 - Very Important,4 - Likely,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/12/2025 13:11:28,Yes,Male,18 – 20 years old,Student,Bachelor's Degree,Weekly,Dining out,Less than RM500,More than 2 years,3 - Neutral,Often,5 - Strongly Agree,3 - Moderately Important,4 - Likely,Cash,4,3,4,5,5,4,3,4,5,4,4,4,3,4,4,3,2,3,2,4,2,3,2,3,2,3,2,3,4,4,3,3,3,3,4,5,4,4,5,4
11/12/2025 13:12:30,Yes,Female,36 – 40 years old,Self-employed,Bachelor's Degree,Monthly,Dining out,"RM500 to RM1,000",More than 2 years,4 - Satisfied,Often,4 - Agree,4 - Very Important,3 - Neutral,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay)",5,4,5,5,4,4,5,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5
11/12/2025 13:53:45,Yes,Female,46 – 50 years old,Private Sector,Secondary School,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up","RM1,000 to RM2,000",More than 2 years,4 - Satisfied,Rarely,5 - Strongly Agree,1- Not Important,3 - Neutral,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
11/12/2025 14:31:13,Yes,Male,31 – 35 years old,Government Sector,Master,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up","Over RM2,000",More than 2 years,5 - Very Satisfied,Sometimes,1 - Strongly Disagree,4 - Very Important,3 - Neutral,"Cash, Credit Card/Debit Card, Online Banking",4,3,4,4,5,4,4,4,4,3,4,4,5,4,4,4,4,3,2,3,4,4,3,4,4,4,3,2,4,4,4,4,2,3,4,4,4,5,4,4
11/12/2025 16:20:22,Yes,Male,26 - 30 years old,Self-employed,Secondary School,Daily,"Grocery shopping, Paying tolls, Dining out, Mobile top-up","RM1,000 to RM2,000",1 to 2 years,1 - Very Dissatisfied,Sometimes,3 - Neutral,1- Not Important,2 - Unlikely,"Cash, Credit Card/Debit Card",3,3,4,4,5,3,5,3,5,1,2,2,3,4,4,4,3,4,4,4,3,3,4,4,3,3,3,3,4,4,5,4,3,4,4,4,4,4,5,4
11/12/2025 22:52:28,Yes,Male,21 - 25 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out","RM500 to RM1,000",More than 2 years,3 - Neutral,Rarely,5 - Strongly Agree,5 - Extremely Important,4 - Likely,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/12/2025 22:54:35,Yes,Female,18 – 20 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out, Bill payments",Less than RM500,1 to 2 years,3 - Neutral,Rarely,4 - Agree,4 - Very Important,3 - Neutral,"Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,4,5,5,5,5,4,5,4,5,5,5,5,5
11/12/2025 23:02:40,Yes,Male,18 – 20 years old,Student,Secondary School,Monthly,"Grocery shopping, Dining out",Less than RM500,1 to 2 years,4 - Satisfied,Rarely,4 - Agree,4 - Very Important,5 - Very Likely,"Cash, Other E-wallets (e.g., GrabPay, ShopeePay)",5,4,4,4,3,4,3,4,5,4,3,5,5,4,4,4,4,5,3,5,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4
11/13/2025 0:19:19,Yes,Male,21 - 25 years old,Unemployed,Diploma,Daily,"Grocery shopping, Paying tolls","RM500 to RM1,000",More than 2 years,3 - Neutral,Rarely,4 - Agree,4 - Very Important,4 - Likely,"Cash, Credit Card/Debit Card, Online Banking",4,4,3,3,3,3,3,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,4,4,5,5,5,4,2,4
11/13/2025 1:06:31,Yes,Female,21 - 25 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up",Less than RM500,More than 2 years,3 - Neutral,Rarely,4 - Agree,3 - Moderately Important,4 - Likely,Cash,5,5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,4,4,5,4,4,5,4,4,5,5,5,4,4,4,5,4,5,4,4,4,5,5
11/13/2025 9:13:24,Yes,Male,21 - 25 years old,Student,Diploma,Daily,"Paying tolls, Dining out, Bill payments, Mobile top-up","RM1,000 to RM2,000",More than 2 years,4 - Satisfied,Never,5 - Strongly Agree,1- Not Important,3 - Neutral,"Cash, Other E-wallets (e.g., GrabPay, ShopeePay)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/13/2025 9:59:44,Yes,Female,21 - 25 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out","RM500 to RM1,000",More than 2 years,5 - Very Satisfied,Never,5 - Strongly Agree,4 - Very Important,3 - Neutral,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5
11/13/2025 10:01:22,Yes,Female,18 – 20 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out, Bill payments, Mobile top-up","RM500 to RM1,000",More than 2 years,5 - Very Satisfied,Rarely,5 - Strongly Agree,4 - Very Important,4 - Likely,"Cash, Online Banking",4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,4,4,4,5
11/13/2025 10:03:05,Yes,Male,21 - 25 years old,Student,Bachelor's Degree,Daily,Dining out,Less than RM500,More than 2 years,5 - Very Satisfied,Never,5 - Strongly Agree,5 - Extremely Important,5 - Very Likely,Cash,4,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4
11/13/2025 10:04:57,Yes,Male,21 - 25 years old,Student,Bachelor's Degree,Daily,"Dining out, Bill payments","RM500 to RM1,000",More than 2 years,4 - Satisfied,Never,4 - Agree,4 - Very Important,4 - Likely,"Cash, Online Banking",4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,5,5,4,4,4,5,4,4,4,4,3,4,3,4
11/13/2025 10:08:08,Yes,Female,18 – 20 years old,Student,Bachelor's Degree,Weekly,Dining out,Less than RM500,More than 2 years,5 - Very Satisfied,Often,4 - Agree,4 - Very Important,4 - Likely,"Credit Card/Debit Card, Online Banking",5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,2,4
11/13/2025 11:56:38,Yes,Female,21 - 25 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out","RM500 to RM1,000",More than 2 years,5 - Very Satisfied,Never,4 - Agree,4 - Very Important,5 - Very Likely,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",4,4,4,5,5,4,5,4,4,4,4,5,5,4,4,5,4,5,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,4,4,5,4,4,4,5
11/13/2025 11:58:19,Yes,Male,21 - 25 years old,Student,Bachelor's Degree,Daily,"Paying tolls, Dining out","RM500 to RM1,000",More than 2 years,4 - Satisfied,Rarely,5 - Strongly Agree,4 - Very Important,4 - Likely,"Cash, Credit Card/Debit Card, Online Banking",5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4,4
11/13/2025 11:58:54,Yes,Female,21 - 25 years old,Student,Bachelor's Degree,Daily,Grocery shopping,Less than RM500,More than 2 years,4 - Satisfied,Often,4 - Agree,3 - Moderately Important,4 - Likely,"Cash, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",4,4,5,5,4,4,4,5,4,4,4,4,5,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5
11/13/2025 12:00:28,Yes,Female,26 - 30 years old,Student,Master,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments","RM1,000 to RM2,000",More than 2 years,4 - Satisfied,Never,5 - Strongly Agree,5 - Extremely Important,5 - Very Likely,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,4,4,5,5,5,4,4,5,5,4,4,4,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,4,4,4,5,5,5,4,4,5,5,5,5
11/13/2025 12:02:34,Yes,Female,26 - 30 years old,Student,Master,Daily,"Grocery shopping, Dining out, Bill payments, Mobile top-up","RM1,000 to RM2,000",More than 2 years,3 - Neutral,Never,4 - Agree,4 - Very Important,3 - Neutral,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,4,4,5,5,4,4,4,5,4,4,4,5,5,5,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,5,4
11/13/2025 12:07:59,Yes,Female,26 - 30 years old,Student,Master,Daily,"Grocery shopping, Dining out, Bill payments","RM500 to RM1,000",More than 2 years,3 - Neutral,Never,5 - Strongly Agree,3 - Moderately Important,3 - Neutral,"Cash, Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,4,4,3,4,3,4
11/13/2025 12:11:34,Yes,Male,26 - 30 years old,Private Sector,Bachelor's Degree,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up",Less than RM500,1 to 2 years,5 - Very Satisfied,Sometimes,4 - Agree,3 - Moderately Important,4 - Likely,"Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay)",5,4,5,4,4,4,5,4,5,5,4,5,5,4,5,5,5,4,4,4,5,4,4,4,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,4
11/13/2025 12:13:07,Yes,Female,36 – 40 years old,Self-employed,Master,Daily,"Grocery shopping, Paying tolls, Dining out, Bill payments, Mobile top-up","Over RM2,000",More than 2 years,3 - Neutral,Rarely,5 - Strongly Agree,4 - Very Important,5 - Very Likely,"Credit Card/Debit Card, Other E-wallets (e.g., GrabPay, ShopeePay), Online Banking",5,4,5,5,5,5,4,4,3,4,5,4,5,4,5,4,4,4,5,5,4,5,3,5,5,4,5,3,5,4,5,4,5,4,5,5,4,4,4,5
11/13/2025 12:44:33,Yes,Female,46 – 50 years old,Self-employed,Master,Weekly,"Paying tolls, Dining out","RM1,000 to RM2,000",1 to 2 years,4 - Satisfied,Sometimes,5 - Strongly Agree,5 - Extremely Important,5 - Very Likely,"Other E-wallets (e.g., GrabPay, ShopeePay)",5,4,5,4,4,5,5,3,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4,5,4,5
11/13/2025 12:45:36,Yes,Male,31 – 35 years old,Self-employed,Bachelor's Degree,Weekly,"Paying tolls, Dining out","Over RM2,000",6 months to 1 year,5 - Very Satisfied,Sometimes,4 - Agree,4 - Very Important,5 - Very Likely,Online Banking,5,5,4,5,4,4,5,5,4,5,5,5,4,5,4,4,5,5,4,5,4,4,5,4,5,4,4,4,5,5,4,4,5,5,5,4,5,5,4,5
11/13/2025 12:46:37,Yes,Male,21 - 25 years old,Private Sector,Diploma,Daily,"Grocery shopping, Paying tolls, Dining out","RM500 to RM1,000",More than 2 years,3 - Neutral,Never,5 - Strongly Agree,1- Not Important,3 - Neutral,"Cash, Other E-wallets (e.g., GrabPay, ShopeePay)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/13/2025 12:46:52,Yes,Male,31 – 35 years old,Self-employed,Bachelor's Degree,Rarely,Bill payments,Less than RM500,6 months to 1 year,3 - Neutral,Rarely,4 - Agree,3 - Moderately Important,3 - Neutral,"Other E-wallets (e.g., GrabPay, ShopeePay)",3,4,4,4,3,4,3,3,5,4,4,3,3,3,4,3,4,3,4,5,4,4,3,4,4,5,5,3,4,5,4,5,5,4,5,5,5,5,4,4
11/13/2025 12:49:37,Yes,Female,21 - 25 years old,Student,Bachelor's Degree,Daily,"Grocery shopping, Dining out, Mobile top-up","RM1,000 to RM2,000",More than 2 years,3 - Neutral,Rarely,5 - Strongly Agree,1- Not Important,3 - Neutral,"Cash, Credit Card/Debit Card",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
