Timestamp,Section A : Respondent Role,Gender,Age Range,Education Level,Working Experience ,Employment Type,I feel free to undertake tasks and decisions independently at work.,I always feel free and comfortable to convey my innovative ideas to the seniors and to get those ideas implemented in the work norms to enhance the performance of McDonald’s.,I feel very happy regarding pay wages compared to workload. ,"I believe that everyone on the staff is treated equally at McDonald’s irrespective of their cast, creed, region, and religion. ",I can put McDonald’s on Higher ranking regarding the safety and security of staff while working at McDonald’s.,My workplace is the best example of work–life balance. ,Gender,Age Range,Employment status,Education Level,  How often do you eat McDonald’s?  , The prices at McDonald‘s are fair.,McDonald‘s food tastes good.,McDonald‘s meals are served quickly.,McDonald‘s restaurants are clean and well taken care of.,McDonalds restaurants have an appealing interior design.,McDonald‘s restaurants are a comfortable place to eat in.,Working at McDonald’s is a wonderful and interesting experience.  
11/18/2025 16:42:31,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,5,3,3,4,
11/18/2025 16:42:59,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,3,5,5,3,3,3,
11/18/2025 17:27:11,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,Daily,5,5,5,5,5,5,
11/19/2025 10:49:50,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,4,5,5,5,
11/19/2025 10:51:12,Employee McDonald’s,Female,26-35,Diploma,1-3 years,full-time,5,5,5,5,5,,,,,,,,,,,,,
11/19/2025 10:51:35,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Secondary School,Daily,5,5,5,5,5,5,
11/19/2025 10:52:53,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a week,3,4,5,4,4,5,
11/19/2025 11:54:32,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a month,4,4,4,4,5,4,
11/19/2025 16:43:34,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,5,4,5,5,
11/20/2025 0:20:34,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,5,5,5,5,5,5,
11/21/2025 17:38:07,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,4,5,5,3,3,4,
11/21/2025 17:38:37,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Diploma,A few times a month,4,4,4,3,3,3,
11/21/2025 17:38:58,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a month,4,5,5,3,3,3,
11/21/2025 17:39:30,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,3,4,3,3,3,3,
11/21/2025 17:40:00,Customer McDonald’s,,,,,,,,,,,,Female,below 18,Student,Secondary School,A few times a month,4,5,3,3,4,4,
11/21/2025 17:41:41,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,3,3,4,4,4,4,
11/21/2025 17:42:00,Customer McDonald’s,,,,,,,,,,,,Female,below 18,Student,Secondary School,A few times a week,3,4,3,3,4,4,
11/21/2025 17:42:58,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a month,4,4,4,4,4,4,
11/21/2025 17:48:24,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Secondary School,A few times a month,4,5,3,2,2,4,
11/21/2025 17:49:33,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Secondary School,A few times a week,4,4,3,2,3,4,
11/21/2025 17:51:26,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Secondary School,A few times a week,4,4,4,2,2,3,
11/21/2025 17:51:56,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Secondary School,A few times a week,4,5,4,3,3,3,
11/21/2025 17:52:14,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,3,4,3,3,3,4,
11/21/2025 17:53:36,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Diploma,A few times a week,4,4,4,3,3,4,
11/21/2025 17:54:02,Customer McDonald’s,,,,,,,,,,,,Female,below 18,Student,Secondary School,A few times a month,3,4,3,3,3,2,
11/21/2025 17:54:28,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,3,4,3,4,4,5,
11/21/2025 17:55:15,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Bachelor's degree,A few times a month,4,5,3,3,3,3,
11/21/2025 17:56:48,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Diploma,A few times a week,3,4,3,4,4,4,
11/21/2025 17:57:29,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,Rarely,4,3,3,3,3,3,
11/21/2025 17:59:42,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,4,4,4,3,3,4,
11/21/2025 18:00:04,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Diploma,A few times a week,5,5,5,4,4,5,
11/21/2025 18:03:08,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Secondary School,Rarely,3,4,3,4,3,4,
11/21/2025 18:04:01,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Secondary School,A few times a week,3,5,4,4,3,3,
11/21/2025 18:04:21,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Diploma,A few times a month,4,5,4,4,4,5,
11/21/2025 18:04:44,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Diploma,A few times a month,4,4,4,4,4,4,
11/21/2025 18:05:12,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Bachelor's degree,Rarely,4,3,4,2,2,3,
11/21/2025 18:05:33,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Working professional,Bachelor's degree,A few times a week,4,5,5,3,3,4,
11/21/2025 18:06:22,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Self-employed,Diploma,A few times a month,4,3,3,2,2,2,
11/21/2025 18:06:47,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Bachelor's degree,Rarely,3,3,3,3,3,3,
11/21/2025 18:13:32,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,4,4,4,4,4,
11/21/2025 18:15:14,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a week,3,4,3,3,3,4,
11/21/2025 18:15:37,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Bachelor's degree,A few times a month,4,5,5,4,4,5,
11/21/2025 18:16:06,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Bachelor's degree,A few times a month,4,4,5,4,4,4,
11/21/2025 18:16:34,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Self-employed,Bachelor's degree,Rarely,4,4,4,4,3,3,
11/21/2025 18:16:52,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,4,4,4,4,4,
11/21/2025 18:17:13,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Diploma,A few times a week,3,5,4,3,2,3,
11/21/2025 18:17:34,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Self-employed,Bachelor's degree,A few times a month,4,3,3,2,2,2,
11/21/2025 18:17:53,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,3,4,4,3,4,
11/21/2025 18:18:15,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Diploma,A few times a month,4,5,5,5,4,4,
11/22/2025 7:52:31,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a week,3,5,4,5,5,5,
11/22/2025 7:53:41,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Self-employed,Postgraduate,Rarely,2,4,3,4,5,3,
11/22/2025 7:54:13,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Postgraduate,A few times a month,3,4,4,3,4,5,
11/22/2025 7:54:58,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Secondary School,A few times a month,3,4,5,5,4,5,
11/22/2025 7:55:29,Customer McDonald’s,,,,,,,,,,,,Female,below 18,Working professional,Secondary School,A few times a week,3,5,4,5,5,5,
11/22/2025 7:56:02,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Self-employed,PhD,Rarely,3,4,4,4,4,4,
11/22/2025 7:56:34,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,PhD,A few times a month,4,5,4,3,4,5,
11/22/2025 7:57:20,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,PhD,Rarely,2,3,3,4,5,4,
11/22/2025 7:57:53,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Secondary School,Rarely,2,3,3,3,3,3,
11/22/2025 7:58:28,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,PhD,A few times a week,4,5,5,5,5,5,
11/22/2025 7:59:05,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Secondary School,Daily,5,5,5,5,5,5,
11/22/2025 7:59:34,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,PhD,Rarely,3,4,4,5,4,5,
11/22/2025 8:00:08,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Postgraduate,A few times a month,3,4,5,3,4,4,
11/22/2025 8:00:52,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Unemployed,Secondary School,Rarely,1,2,3,3,4,2,
11/22/2025 8:01:21,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Bachelor's degree,A few times a week,4,5,4,5,3,4,
11/22/2025 8:01:54,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Self-employed,PhD,A few times a month,4,5,3,3,4,4,
11/22/2025 8:02:28,Customer McDonald’s,,,,,,,,,,,,Male,36-45,Unemployed,Secondary School,Rarely,2,3,3,1,3,3,
11/22/2025 8:02:54,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,4,5,4,4,5,4,
11/22/2025 8:03:17,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Secondary School,Daily,5,5,5,5,5,5,
11/22/2025 8:03:57,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Working professional,PhD,A few times a month,3,4,3,3,3,4,
11/22/2025 10:50:23,Employee McDonald’s,Female,18-25,Diploma,4-5 years,full-time,3,,3,3,2,5,,,,,,,,,,,,5
11/22/2025 10:50:44,Employee McDonald’s,Male,26-35,Postgraduate,less than 1 year,part-time,5,,3,4,5,4,,,,,,,,,,,,5
11/22/2025 10:51:13,Employee McDonald’s,Female,18-25,Bachelor's Degree,more than 5 years,full-time,5,,4,5,4,4,,,,,,,,,,,,5
11/22/2025 10:51:43,Employee McDonald’s,Female,26-35,Secondary School,4-5 years,full-time,4,,5,5,3,5,,,,,,,,,,,,5
11/22/2025 10:53:12,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a month,5,4,5,5,4,4,
11/22/2025 10:53:34,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Unemployed,Secondary School,A few times a month,5,3,2,1,5,4,
11/22/2025 10:53:53,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Diploma,A few times a week,5,4,2,5,5,3,
11/22/2025 10:54:13,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Postgraduate,A few times a month,5,4,3,5,4,5,
11/22/2025 10:54:36,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Postgraduate,A few times a month,5,4,5,4,5,3,
11/22/2025 10:55:00,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Unemployed,Secondary School,Rarely,5,4,3,4,5,1,
11/22/2025 10:55:25,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Diploma,A few times a week,5,4,5,3,1,5,
11/22/2025 11:12:45,Customer McDonald’s,,,,,,,,,,,,Male,36-45,Working professional,Bachelor's degree,Daily,5,4,4,2,4,3,
11/22/2025 11:13:05,Customer McDonald’s,,,,,,,,,,,,Male,36-45,Self-employed,Postgraduate,A few times a week,3,4,4,5,4,5,
11/22/2025 11:13:25,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Bachelor's degree,A few times a week,5,4,5,3,5,4,
11/22/2025 11:13:46,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Self-employed,Postgraduate,A few times a week,4,5,5,5,5,5,
11/22/2025 11:14:05,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Bachelor's degree,Daily,4,5,5,3,4,4,
11/22/2025 11:14:24,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Working professional,Bachelor's degree,Daily,4,5,5,4,5,5,
11/22/2025 11:14:44,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Postgraduate,Rarely,5,4,4,2,2,4,
11/22/2025 11:15:06,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Postgraduate,A few times a month,4,5,3,5,4,3,
11/22/2025 11:15:28,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Unemployed,Bachelor's degree,Daily,4,5,5,4,5,5,
11/22/2025 11:19:12,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Working professional,Bachelor's degree,A few times a month,5,4,3,2,5,5,
11/22/2025 11:19:36,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Bachelor's degree,A few times a month,4,3,5,2,1,4,
11/22/2025 11:19:59,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a month,5,5,4,2,3,5,
11/22/2025 11:20:21,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Working professional,Bachelor's degree,Daily,5,4,4,3,5,2,
11/22/2025 11:20:55,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Unemployed,Postgraduate,Rarely,3,4,2,4,5,5,
11/22/2025 11:21:15,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Unemployed,Secondary School,Rarely,5,3,5,2,4,5,
11/22/2025 11:21:35,Customer McDonald’s,,,,,,,,,,,,Female,36-45,Self-employed,Postgraduate,A few times a month,3,4,5,3,4,4,
11/22/2025 11:21:56,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Working professional,Bachelor's degree,A few times a week,4,5,4,4,3,5,
11/22/2025 11:22:20,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Diploma,A few times a week,4,5,3,4,5,5,
11/22/2025 11:22:39,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Working professional,Diploma,A few times a week,5,2,2,3,5,5,
11/22/2025 11:23:01,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a week,5,4,4,4,3,4,
11/22/2025 11:23:20,Customer McDonald’s,,,,,,,,,,,,Female,46-55,Working professional,Postgraduate,A few times a week,5,4,5,3,3,3,
11/22/2025 11:23:38,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a week,2,4,5,5,5,5,
11/22/2025 11:24:03,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a week,5,4,5,5,3,4,
11/22/2025 11:24:22,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a week,5,5,4,2,4,5,
11/22/2025 11:24:43,Customer McDonald’s,,,,,,,,,,,,Male,36-45,Working professional,Bachelor's degree,A few times a week,5,4,5,4,5,5,
11/22/2025 11:25:05,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Self-employed,Bachelor's degree,A few times a month,5,4,2,3,5,5,
11/22/2025 11:25:27,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,Bachelor's degree,A few times a month,4,5,4,5,5,2,
11/22/2025 11:25:52,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Bachelor's degree,Rarely,5,3,5,3,3,3,
11/22/2025 11:26:11,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Diploma,A few times a week,3,3,5,5,5,4,
11/22/2025 11:26:36,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Self-employed,Bachelor's degree,A few times a month,4,2,4,3,5,5,
11/22/2025 11:27:00,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,Daily,5,5,4,4,5,4,
11/22/2025 11:27:22,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Postgraduate,Daily,5,4,5,5,4,5,
11/22/2025 22:22:50,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Postgraduate,A few times a week,4,5,4,5,5,5,
11/22/2025 22:23:18,Customer McDonald’s,,,,,,,,,,,,Male,26-35,Self-employed,PhD,A few times a month,3,4,5,4,5,3,
11/22/2025 22:23:46,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Student,PhD,A few times a month,3,4,4,5,5,5,
11/22/2025 22:24:14,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Postgraduate,Rarely,2,4,3,4,3,4,
11/22/2025 22:24:44,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Unemployed,Secondary School,Rarely,3,2,3,4,2,3,
11/22/2025 22:25:10,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Self-employed,PhD,A few times a month,4,5,4,5,5,5,
11/22/2025 22:25:42,Customer McDonald’s,,,,,,,,,,,,Male,below 18,Student,Secondary School,Daily,5,5,5,5,5,5,
11/22/2025 22:26:06,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,4,4,3,3,4,
11/22/2025 22:26:33,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,PhD,Rarely,3,4,5,3,4,5,
11/22/2025 22:27:10,Customer McDonald’s,,,,,,,,,,,,Female,26-35,Working professional,Bachelor's degree,A few times a month,5,5,5,5,5,5,
11/22/2025 22:27:51,Customer McDonald’s,,,,,,,,,,,,Female,below 18,Student,Secondary School,A few times a month,3,4,3,4,5,5,
11/22/2025 22:28:21,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,3,4,4,5,4,4,
11/22/2025 22:28:50,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Postgraduate,Rarely,4,5,5,5,5,5,
11/22/2025 22:29:18,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Bachelor's degree,A few times a month,4,4,3,3,3,4,
11/22/2025 22:29:54,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Diploma,A few times a week,4,4,3,3,3,5,